2025-11-30,OPENING BALANCE,,,3120.00
2025-12-01,NORTHWIND LABS,,4850.00,7970.00
2025-12-01,RIVERBEND APARTMENTS,1650.00,,6320.00
2025-12-02,FITHARBOR GYM,70.00,,6250.00
2025-12-03,GREEN BASKET MARKET,180.00,,6070.00
2025-12-04,FILLUP FUELS,85.00,,5985.00
2025-12-05,PAYMENT THANK YOU,800.00,,5185.00
2025-12-06,PARKRIGHT,45.00,,5140.00
2025-12-07,CORNER BEAN,42.00,,5098.00
2025-12-08,CITY POWER CO,140.00,,4958.00
2025-12-09,BRIGHTFIBER,85.00,,4873.00
2025-12-10,MOBILEONE,55.00,,4818.00
2025-12-11,CITY TRANSIT,110.00,,4708.00
2025-12-12,SAVINGS SWEEP,200.00,,4508.00
2025-12-14,NOON TABLE,68.00,,4440.00
2025-12-15,NORTHWIND LABS,,1200.00,5640.00
2025-12-15,HARBOUR FOOD BANK,50.00,,5590.00
2025-12-16,STREAMFLIX,18.99,,5571.01
2025-12-16,TUNECLOUD,12.99,,5558.02
2025-12-17,GREEN BASKET MARKET,165.00,,5393.02
2025-12-18,FILLUP FUELS,78.00,,5315.02
2025-12-20,CLOTH & CO,120.00,,5195.02
2025-12-21,DELIVERY DASH,34.00,,5161.02
2025-12-22,NIGHT OWL CINEMA,28.00,,5133.02
2025-12-27,HARBOUR CREDIT UNION,4.00,,5129.02
2025-12-28,HARBOUR CREDIT UNION,,12.40,5141.42
2025-12-30,CORNER BEAN,6.50,,5134.92
2025-12-30,CORNER BEAN,6.50,,5128.42
